Majority.protein.IDs	Protein.ID	Entry.Name	Gene.names	Protein.Length	Coverage	Organism	Protein.Existence	Description	Protein.Probability	Top.Peptide.Probability	razorUniqueCount	spectraCount	razorUniqueCount.MIAPACA_1	razorUniqueCount.MIAPACA_2	razorUniqueCount.MIAPACA_3	razorUniqueCount.MIAPACA_4	razorUniqueCount.MIAPACA_5	razorUniqueCount.MIAPACA_AG205_1	razorUniqueCount.MIAPACA_AG205_2	razorUniqueCount.MIAPACA_AG205_3	razorUniqueCount.MIAPACA_AG205_4	razorUniqueCount.MIAPACA_AG205_5	razorUniqueCount.PGRMC1_1	razorUniqueCount.PGRMC1_2	razorUniqueCount.PGRMC1_3	razorUniqueCount.PGRMC1_4	razorUniqueCount.PGRMC1_5	razorUniqueCount.PGRMC1_AG205_1	razorUniqueCount.PGRMC1_AG205_2	razorUniqueCount.PGRMC1_AG205_3	razorUniqueCount.PGRMC1_AG205_4	razorUniqueCount.PGRMC1_AG205_5	Indistinguishable.Proteins	Potential.contaminant	quantified	logFC_PGRMC1__vs__MIAPACA	AveExpr_PGRMC1__vs__MIAPACA	t_PGRMC1__vs__MIAPACA	P.Value_PGRMC1__vs__MIAPACA	adj.P.Val_PGRMC1__vs__MIAPACA	B_PGRMC1__vs__MIAPACA	logFC_PGRMC1_AG205__vs__MIAPACA_AG205	AveExpr_PGRMC1_AG205__vs__MIAPACA_AG205	t_PGRMC1_AG205__vs__MIAPACA_AG205	P.Value_PGRMC1_AG205__vs__MIAPACA_AG205	adj.P.Val_PGRMC1_AG205__vs__MIAPACA_AG205	B_PGRMC1_AG205__vs__MIAPACA_AG205	logFC_PGRMC1__vs__PGRMC1_AG205	AveExpr_PGRMC1__vs__PGRMC1_AG205	t_PGRMC1__vs__PGRMC1_AG205	P.Value_PGRMC1__vs__PGRMC1_AG205	adj.P.Val_PGRMC1__vs__PGRMC1_AG205	B_PGRMC1__vs__PGRMC1_AG205	logFC_MIAPACA__vs__MIAPACA_AG205	AveExpr_MIAPACA__vs__MIAPACA_AG205	t_MIAPACA__vs__MIAPACA_AG205	P.Value_MIAPACA__vs__MIAPACA_AG205	adj.P.Val_MIAPACA__vs__MIAPACA_AG205	B_MIAPACA__vs__MIAPACA_AG205	TotalIntensity_MIAPACA_1	TotalIntensity_MIAPACA_2	TotalIntensity_MIAPACA_3	TotalIntensity_MIAPACA_4	TotalIntensity_MIAPACA_5	TotalIntensity_MIAPACA_AG205_1	TotalIntensity_MIAPACA_AG205_2	TotalIntensity_MIAPACA_AG205_3	TotalIntensity_MIAPACA_AG205_4	TotalIntensity_MIAPACA_AG205_5	TotalIntensity_PGRMC1_1	TotalIntensity_PGRMC1_2	TotalIntensity_PGRMC1_3	TotalIntensity_PGRMC1_4	TotalIntensity_PGRMC1_5	TotalIntensity_PGRMC1_AG205_1	TotalIntensity_PGRMC1_AG205_2	TotalIntensity_PGRMC1_AG205_3	TotalIntensity_PGRMC1_AG205_4	TotalIntensity_PGRMC1_AG205_5	UniqueIntensity_MIAPACA_1	UniqueIntensity_MIAPACA_2	UniqueIntensity_MIAPACA_3	UniqueIntensity_MIAPACA_4	UniqueIntensity_MIAPACA_5	UniqueIntensity_MIAPACA_AG205_1	UniqueIntensity_MIAPACA_AG205_2	UniqueIntensity_MIAPACA_AG205_3	UniqueIntensity_MIAPACA_AG205_4	UniqueIntensity_MIAPACA_AG205_5	UniqueIntensity_PGRMC1_1	UniqueIntensity_PGRMC1_2	UniqueIntensity_PGRMC1_3	UniqueIntensity_PGRMC1_4	UniqueIntensity_PGRMC1_5	UniqueIntensity_PGRMC1_AG205_1	UniqueIntensity_PGRMC1_AG205_2	UniqueIntensity_PGRMC1_AG205_3	UniqueIntensity_PGRMC1_AG205_4	UniqueIntensity_PGRMC1_AG205_5	Intensity_MIAPACA_1	Intensity_MIAPACA_2	Intensity_MIAPACA_3	Intensity_MIAPACA_4	Intensity_MIAPACA_5	Intensity_MIAPACA_AG205_1	Intensity_MIAPACA_AG205_2	Intensity_MIAPACA_AG205_3	Intensity_MIAPACA_AG205_4	Intensity_MIAPACA_AG205_5	Intensity_PGRMC1_1	Intensity_PGRMC1_2	Intensity_PGRMC1_3	Intensity_PGRMC1_4	Intensity_PGRMC1_5	Intensity_PGRMC1_AG205_1	Intensity_PGRMC1_AG205_2	Intensity_PGRMC1_AG205_3	Intensity_PGRMC1_AG205_4	Intensity_PGRMC1_AG205_5	LFQIntensity_MIAPACA_1	LFQIntensity_MIAPACA_2	LFQIntensity_MIAPACA_3	LFQIntensity_MIAPACA_4	LFQIntensity_MIAPACA_5	LFQIntensity_MIAPACA_AG205_1	LFQIntensity_MIAPACA_AG205_2	LFQIntensity_MIAPACA_AG205_3	LFQIntensity_MIAPACA_AG205_4	LFQIntensity_MIAPACA_AG205_5	LFQIntensity_PGRMC1_1	LFQIntensity_PGRMC1_2	LFQIntensity_PGRMC1_3	LFQIntensity_PGRMC1_4	LFQIntensity_PGRMC1_5	LFQIntensity_PGRMC1_AG205_1	LFQIntensity_PGRMC1_AG205_2	LFQIntensity_PGRMC1_AG205_3	LFQIntensity_PGRMC1_AG205_4	LFQIntensity_PGRMC1_AG205_5	ImputedIntensity_MIAPACA_1	ImputedIntensity_MIAPACA_2	ImputedIntensity_MIAPACA_3	ImputedIntensity_MIAPACA_4	ImputedIntensity_MIAPACA_5	ImputedIntensity_MIAPACA_AG205_1	ImputedIntensity_MIAPACA_AG205_2	ImputedIntensity_MIAPACA_AG205_3	ImputedIntensity_MIAPACA_AG205_4	ImputedIntensity_MIAPACA_AG205_5	ImputedIntensity_PGRMC1_1	ImputedIntensity_PGRMC1_2	ImputedIntensity_PGRMC1_3	ImputedIntensity_PGRMC1_4	ImputedIntensity_PGRMC1_5	ImputedIntensity_PGRMC1_AG205_1	ImputedIntensity_PGRMC1_AG205_2	ImputedIntensity_PGRMC1_AG205_3	ImputedIntensity_PGRMC1_AG205_4	ImputedIntensity_PGRMC1_AG205_5
sp|O95793|STAU1_HUMAN	O95793	STAU1_HUMAN	STAU1	577	24.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Double-stranded RNA-binding protein Staufen homolog 1	0.9931	0.9988	1	6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|O95816|BAG2_HUMAN	O95816	BAG2_HUMAN	BAG2	211	36	Homo sapiens OX=9606	1:Experimental evidence at protein level	BAG family molecular chaperone regulator 2	1	0.999	3	19	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	3	1	1	1	3				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.3801481811742	NA	NA	NA	26.9236830174209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.3801481811742	NA	NA	NA	26.9236830174209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.3801481811742	NA	NA	NA	26.9236830174209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.3801481811742	NA	NA	NA	26.9236830174209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.3801481811742	NA	NA	NA	26.9236830174209
sp|O95831|AIFM1_HUMAN	O95831	AIFM1_HUMAN	AIFM1	613	41.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Apoptosis-inducing factor 1, mitochondrial	1	0.999	10	151	10	9	7	8	8	7	8	8	8	8	8	7	9	8	5	5	6	6	7	9			+	-0.725201668619182	27.5338414711952	-10.7615334226606	1.5566758136286e-06	1.40320461065479e-05	5.29756263845818	0.0563885704800811	27.4289302169288	0.536454681804586	0.60417777959208	0.71593806427323	-7.4704960855253	-0.285883865283292	27.3141825695272	-3.17089689462794	0.0107213242978605	0.0302469149065468	-3.96519434305337	0.495706373815963	27.6485891185968	5.52042945001537	0.000338497467314492	0.00127610549624756	-0.429632711260875	27.8614692796395	27.9098697425678	27.8579395289215	28.009902236742	27.8430307396529	27.3704220199238	27.5819557500111	27.4734296685547	27.4537963566434	27.1240758633109	27.1341359598074	27.0324298551341	27.2849514304223	27.2151032504717	27.1895826885924	27.5061977577504	27.4491847991694	27.4216678217413	27.2758353567016	27.6327367754817	27.8614692796395	27.9098697425678	27.8579395289215	28.009902236742	27.8430307396529	27.3704220199238	27.5819557500111	27.4734296685547	27.4537963566434	27.1240758633109	27.1341359598074	27.0324298551341	27.2849514304223	27.2151032504717	27.1895826885924	27.5061977577504	27.4491847991694	27.4216678217413	27.2758353567016	27.6327367754817	27.8614692796395	27.9098697425678	27.8579395289215	28.009902236742	27.8430307396529	27.3704220199238	27.5819557500111	27.4734296685547	27.4537963566434	27.1240758633109	27.1341359598074	27.0324298551341	27.2849514304223	27.2151032504717	27.1895826885924	27.5061977577504	27.4491847991694	27.4216678217413	27.2758353567016	27.6327367754817	27.8614692796395	27.9098697425678	27.8579395289215	28.009902236742	27.8430307396529	27.3704220199238	27.5819557500111	27.4734296685547	27.4537963566434	27.1240758633109	27.1341359598074	27.0324298551341	27.2849514304223	27.2151032504717	27.1895826885924	27.5061977577504	27.4491847991694	27.4216678217413	27.2758353567016	27.6327367754817	27.8614692796395	27.9098697425678	27.8579395289215	28.009902236742	27.8430307396529	27.3704220199238	27.5819557500111	27.4734296685547	27.4537963566434	27.1240758633109	27.1341359598074	27.0324298551341	27.2849514304223	27.2151032504717	27.1895826885924	27.5061977577504	27.4491847991694	27.4216678217413	27.2758353567016	27.6327367754817
sp|O95931|CBX7_HUMAN	O95931	CBX7_HUMAN	CBX7	251	12.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chromobox protein homolog 7	0.9604	0.9953	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|O96005|CLPT1_HUMAN	O96005	CLPT1_HUMAN	CLPTM1	669	12.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cleft lip and palate transmembrane protein 1	0.9956	0.999	1	11	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	2	1	0	1	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|O96008|TOM40_HUMAN	O96008	TOM40_HUMAN	TOMM40	361	51.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM40 homolog	1	0.999	6	60	2	3	3	3	2	6	5	4	4	10	2	1	3	1	1	2	1	2	2	3			+	-1.84650267169477	25.2810332347337	-3.40923328408453	0.00746264565877082	0.0165577450553977	-3.80696490414621	-2.08829336274977	25.6392353261766	-4.21978559379083	0.00205963168976661	0.00960655311394169	-2.13283546556791	-0.237306745915316	24.476435271844	-0.33927504304581	0.741841557663961	0.815105785846971	-7.6758661681962	-0.479097436970328	26.4438332890663	-2.31255619589891	0.0453597695338873	0.0787098241199021	-5.53497126424801	26.3949420116341	26.184332234137	26.4212448247904	25.6753149919772	26.3455887903669	26.9091775729582	26.5404205009509	26.7750231606808	26.1151254303242	27.0771633728432	25.7835230458794	NA	25.6057827620299	NA	NA	25.7452513717965	NA	NA	NA	25.828837751688	26.3949420116341	26.184332234137	26.4212448247904	25.6753149919772	26.3455887903669	26.9091775729582	26.5404205009509	26.7750231606808	26.1151254303242	27.0771633728432	25.7835230458794	NA	25.6057827620299	NA	NA	25.7452513717965	NA	NA	NA	25.828837751688	26.3949420116341	26.184332234137	26.4212448247904	25.6753149919772	26.3455887903669	26.9091775729582	26.5404205009509	26.7750231606808	26.1151254303242	27.0771633728432	25.7835230458794	NA	25.6057827620299	NA	NA	25.7452513717965	NA	NA	NA	25.828837751688	26.3949420116341	26.184332234137	26.4212448247904	25.6753149919772	26.3455887903669	26.9091775729582	26.5404205009509	26.7750231606808	26.1151254303242	27.0771633728432	25.7835230458794	NA	25.6057827620299	NA	NA	25.7452513717965	NA	NA	NA	25.828837751688	26.3949420116341	26.184332234137	26.4212448247904	25.6753149919772	26.3455887903669	26.9091775729582	26.5404205009509	26.7750231606808	26.1151254303242	27.0771633728432	25.7835230458794	23.8882094897286	25.6057827620299	23.4854348962954	23.0259593004986	25.7452513717965	24.0739704446296	24.0103077361963	23.317075919698	25.828837751688
sp|O96013|PAK4_HUMAN	O96013	PAK4_HUMAN	PAK4	591	20.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein kinase PAK 4	0.9938	0.9989	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|O96019|ACL6A_HUMAN	O96019	ACL6A_HUMAN	ACTL6A	429	17.2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-like protein 6A	0.9918	0.999	1	5	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	44.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	L-lactate dehydrogenase A chain	1	0.999	11	264	13	11	13	14	14	15	14	12	15	14	17	16	20	13	11	9	13	11	12	7			+	-0.44043057031374	27.680039979825	-5.90062921079095	0.000206026466318917	0.000794273978749853	0.00640052341539121	-0.490582206365108	27.882102536043	-4.45259322122692	0.00145289323282119	0.00726033878802565	-1.76441168026105	-0.176986738192301	27.5483180637643	-1.50588844852153	0.164857791480612	0.259149148231516	-6.61754544793118	-0.227138374243676	28.0138244521037	-3.4259614041455	0.00728059282436609	0.0170883335712394	-3.68094163402891	27.8258346569691	27.8666166659971	28.010780255267	27.8572333767097	27.9408113699664	28.1750892912093	28.0770130552911	28.1531774975934	28.0057266484018	28.2259617036322	27.4705315329224	27.3956188541567	27.6452306255883	27.4592980288371	27.3284444318363	27.7429579064757	27.8069206742238	27.6970161148663	27.6696858039082	27.2674766648282	27.8258346569691	27.8666166659971	28.010780255267	27.8572333767097	27.9408113699664	28.1750892912093	28.0770130552911	28.1531774975934	28.0057266484018	28.2259617036322	27.4705315329224	27.3956188541567	27.6452306255883	27.4592980288371	27.3284444318363	27.7429579064757	27.8069206742238	27.6970161148663	27.6696858039082	27.2674766648282	27.8258346569691	27.8666166659971	28.010780255267	27.8572333767097	27.9408113699664	28.1750892912093	28.0770130552911	28.1531774975934	28.0057266484018	28.2259617036322	27.4705315329224	27.3956188541567	27.6452306255883	27.4592980288371	27.3284444318363	27.7429579064757	27.8069206742238	27.6970161148663	27.6696858039082	27.2674766648282	27.8258346569691	27.8666166659971	28.010780255267	27.8572333767097	27.9408113699664	28.1750892912093	28.0770130552911	28.1531774975934	28.0057266484018	28.2259617036322	27.4705315329224	27.3956188541567	27.6452306255883	27.4592980288371	27.3284444318363	27.7429579064757	27.8069206742238	27.6970161148663	27.6696858039082	27.2674766648282	27.8258346569691	27.8666166659971	28.010780255267	27.8572333767097	27.9408113699664	28.1750892912093	28.0770130552911	28.1531774975934	28.0057266484018	28.2259617036322	27.4705315329224	27.3956188541567	27.6452306255883	27.4592980288371	27.3284444318363	27.7429579064757	27.8069206742238	27.6970161148663	27.6696858039082	27.2674766648282
sp|P00352|AL1A1_HUMAN	P00352	AL1A1_HUMAN	ALDH1A1	501	34.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Retinal dehydrogenase 1	1	0.999	5	43	4	2	2	2	4	3	4	5	3	4	1	0	1	1	1	1	2	1	1	1			+	-1.87871373395114	24.873233947208	-12.8695900929181	3.27459294056802e-07	4.64992197560659e-06	6.98321795132766	-2.50044953861416	24.8750590085847	-14.1848883167566	1.23592800246328e-07	7.02007105399144e-06	8.232664893166	0.309042840954803	23.779355659755	1.48092398363925	0.171269466467397	0.267746028312334	-6.6508147480624	-0.312692963708216	25.9689372960377	-3.30132107980366	0.00889960688753275	0.0204379112349809	-3.8890366141536	25.68021452846	25.8305621109171	25.9570285127798	25.6887054556028	25.9064434631579	25.9677592413022	26.2432995219404	25.9531911377927	26.2777872622404	26.1843817261833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.68021452846	25.8305621109171	25.9570285127798	25.6887054556028	25.9064434631579	25.9677592413022	26.2432995219404	25.9531911377927	26.2777872622404	26.1843817261833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.68021452846	25.8305621109171	25.9570285127798	25.6887054556028	25.9064434631579	25.9677592413022	26.2432995219404	25.9531911377927	26.2777872622404	26.1843817261833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.68021452846	25.8305621109171	25.9570285127798	25.6887054556028	25.9064434631579	25.9677592413022	26.2432995219404	25.9531911377927	26.2777872622404	26.1843817261833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.68021452846	25.8305621109171	25.9570285127798	25.6887054556028	25.9064434631579	25.9677592413022	26.2432995219404	25.9531911377927	26.2777872622404	26.1843817261833	24.1176505600008	23.673644598692	24.2855032695043	24.0372720376911	23.5553149352738	23.8206891073965	24.0375104326223	23.3997883635449	23.097136224901	23.7690470679233
sp|P00367|DHE3_HUMAN	P00367	DHE3_HUMAN	GLUD1	558	61.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1	0.999	21	291	22	17	18	12	23	19	17	18	13	26	8	10	10	8	10	14	12	8	11	15			+	-0.867524663095921	27.4103724112177	-11.594171943573	8.16272015085286e-07	9.1508389059561e-06	5.99641866002042	-0.665730689352209	27.6082832566301	-3.76710403330545	0.00414743134694363	0.0164354023609115	-2.8673789550033	-0.298807832284233	27.1260139958119	-1.76325824559305	0.110180223650726	0.186627337078368	-6.25621899338605	-0.0970138585405067	27.8926416720359	-1.05003797164981	0.3204136982974	0.405001890693244	-7.29222738150095	27.9768032289607	27.846429733229	27.681330861326	27.8784214265327	27.83768846378	28.0316406333443	27.8552845405631	27.765243499756	27.8828682066354	28.1707061262323	26.9328064114895	26.986573893987	27.1303883141207	26.9353476242489	26.8979341545028	27.3005616149834	27.3569749671397	27.2953229157005	26.6929486361262	27.7312814258202	27.6725796459959	27.6167737313587	27.2112793532677	26.9265740701132	27.4851706485528	27.4053765173825	26.9363976543166	26.9107394277577	26.630907424173	27.7480137589392	26.7099889077174	26.8985294285728	26.7672490419389	26.6384015533034	26.2884724119765	27.1112257925488	26.6833949539472	NA	26.2629821508254	27.4563095407706	27.9768032289607	27.846429733229	27.681330861326	27.8784214265327	27.83768846378	28.0316406333443	27.8552845405631	27.765243499756	27.8828682066354	28.1707061262323	26.9328064114895	26.986573893987	27.1303883141207	26.9353476242489	26.8979341545028	27.3005616149834	27.3569749671397	27.2953229157005	26.6929486361262	27.7312814258202	27.9768032289607	27.846429733229	27.681330861326	27.8784214265327	27.83768846378	28.0316406333443	27.8552845405631	27.765243499756	27.8828682066354	28.1707061262323	26.9328064114895	26.986573893987	27.1303883141207	26.9353476242489	26.8979341545028	27.3005616149834	27.3569749671397	27.2953229157005	26.6929486361262	27.7312814258202	27.9768032289607	27.846429733229	27.681330861326	27.8784214265327	27.83768846378	28.0316406333443	27.8552845405631	27.765243499756	27.8828682066354	28.1707061262323	26.9328064114895	26.986573893987	27.1303883141207	26.9353476242489	26.8979341545028	27.3005616149834	27.3569749671397	27.2953229157005	26.6929486361262	27.7312814258202
sp|P00403|COX2_HUMAN	P00403	COX2_HUMAN	MT-CO2	227	17.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 2	1	0.999	3	31	1	2	2	1	3	2	1	1	1	2	1	1	1	1	1	2	2	1	2	3			+	-1.8978463454782	24.8200804753604	-2.38094238527445	0.0404696314352258	0.072134154775758	-5.52379778704855	1.1712260845445	25.9388212957491	1.19377493350303	0.261987472813554	0.396471273245379	-6.89470194741829	-2.65327703540002	25.1977958203214	-4.49413739754575	0.00133819507396362	0.00575576103266936	-1.79091490955023	0.415795394622684	25.5611059507882	0.371058495030637	0.718967408592993	0.773434636516704	-7.79291352547494	NA	27.0203072070945	26.8713897835144	NA	27.380107347989	27.2770579135077	NA	NA	NA	27.6326844200471	NA	NA	NA	NA	NA	26.8857038198417	27.1780693874127	NA	26.850098302807	27.5104011589378	NA	27.0203072070945	26.8713897835144	NA	27.380107347989	27.2770579135077	NA	NA	NA	27.6326844200471	NA	NA	NA	NA	NA	26.8857038198417	27.1780693874127	NA	26.850098302807	27.5104011589378	NA	27.0203072070945	26.8713897835144	NA	27.380107347989	27.2770579135077	NA	NA	NA	27.6326844200471	NA	NA	NA	NA	NA	26.8857038198417	27.1780693874127	NA	26.850098302807	27.5104011589378	NA	27.0203072070945	26.8713897835144	NA	27.380107347989	27.2770579135077	NA	NA	NA	27.6326844200471	NA	NA	NA	NA	NA	26.8857038198417	27.1780693874127	NA	26.850098302807	27.5104011589378	24.1881172196556	27.0203072070945	26.8713897835144	23.3850966822443	27.380107347989	27.2770579135077	24.4978412067763	23.4192250145311	23.9392327125221	27.6326844200471	24.6020945714953	23.1984362379673	23.6165603618043	23.9271255112946	24.0115698305452	26.8857038198417	27.1780693874127	24.1978990211075	26.850098302807	27.5104011589378
sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	38.3	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	0.9918	0.999	1	14	1	1	1	1	2	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|P00492|HPRT_HUMAN	P00492	HPRT_HUMAN	HPRT1	218	12.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hypoxanthine-guanine phosphoribosyltransferase	0.9927	0.999	1	4	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|P00505|AATM_HUMAN	P00505	AATM_HUMAN	GOT2	430	23.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aspartate aminotransferase, mitochondrial	0.9895	0.9988	1	3	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
